atlas_index,order,stacking_number,tree_estimation,equal,provenance
3,2,3,3,true,authors_reverse_state_reproduced
6,3,7,7,true,authors_reverse_state_reproduced
13,4,10,10,true,authors_reverse_state_reproduced
14,4,15,15,true,authors_reverse_state_reproduced
29,5,13,13,true,authors_reverse_state_reproduced
30,5,20,20,true,authors_reverse_state_reproduced
31,5,31,31,true,authors_reverse_state_reproduced
77,6,16,16,true,authors_reverse_state_reproduced
78,6,25,25,true,authors_reverse_state_reproduced
79,6,23,23,true,authors_reverse_state_reproduced
80,6,36,36,true,authors_reverse_state_reproduced
81,6,40,40,true,authors_reverse_state_reproduced
83,6,63,63,true,authors_reverse_state_reproduced
270,7,19,19,true,authors_reverse_state_reproduced
271,7,30,30,true,authors_reverse_state_reproduced
272,7,28,28,true,authors_reverse_state_reproduced
273,7,41,41,true,authors_reverse_state_reproduced
274,7,49,49,true,authors_reverse_state_reproduced
276,7,45,45,true,authors_reverse_state_reproduced
278,7,43,43,true,authors_reverse_state_reproduced
279,7,72,72,true,authors_reverse_state_reproduced
280,7,80,80,true,authors_reverse_state_reproduced
284,7,52,52,true,authors_reverse_state_reproduced
286,7,127,127,true,authors_reverse_state_reproduced
